Method,PSNR,SSIM
Median + NLM,31.245538719221898,0.8482030723873171
Median Filter,28.781165576791746,0.5888288683521736
Wavelet Filter,26.48899914918831,0.5182907383643957
Bilateral + Wavelet,26.05883082479439,0.5535103428764262
Bilateral Filter,25.57386685350153,0.5117302294593166
Non-Local Means,21.244918498956107,0.2577747216902499
