Method,PSNR,SSIM
Median + NLM,31.287131728512577,0.7606822153043533
Median Filter,28.64201616490382,0.5811383318689258
Wavelet Filter,26.613937575149485,0.5181810589355139
Bilateral + Wavelet,26.16397289457006,0.5558833960167359
Bilateral Filter,25.606830019846672,0.5184894653222872
Non-Local Means,21.930383954700368,0.3441731582917819
