Method,PSNR,SSIM
Median + NLM,31.30929570521738,0.8487254414840275
Median Filter,28.770811293855722,0.5884871182525242
Wavelet Filter,26.92786218362135,0.546160695380083
Bilateral + Wavelet,26.07384432651424,0.5542314166238969
Bilateral Filter,25.583981792234027,0.5122837310341203
Non-Local Means,21.235952421096854,0.2563811572958708
